I1,I2,I3
1.7527,-0.1047,0.0024
1.7527,-0.3142,-0.0031
1.6375,-0.1047,-0.0044
1.4352,-0.2094,-0.0084
1.637,-0.3142,-0.0075
1.558,-0.4189,-0.0108
1.5582,-0.6283,-0.0119
1.5582,-0.733,-0.0128
1.7524,-0.9425,-0.0161
1.9473,-1.1519,-0.0205
1.6373,-1.1519,-0.0178
1.6373,-1.0472,-0.0234
1.7529,-1.1519,-0.0234
1.8312,-1.1519,-0.0267
1.4355,-1.1519,-0.0324
1.4355,-1.1519,-0.0357
1.8315,-1.1519,-0.039
1.7529,-1.1519,-0.0467
1.6373,-1.0472,-0.0428
1.5576,-1.1519,-0.0406
1.6373,-1.2566,-0.0432
1.7522,-1.6755,-0.0414
1.7524,-2.3038,-0.0399
1.3561,-2.5133,-0.0379
1.4356,-2.8274,-0.0401
1.6373,-2.618,-0.0333
1.7524,-2.5133,-0.0368
1.637,-3.0369,-0.0458
1.7524,-3.8746,-0.0417
1.5582,-3.8746,-0.0423
1.637,-3.1416,-0.0403
1.7524,-2.1991,-0.0458
1.637,-1.4661,-0.0632
1.4352,-0.9425,-0.0804
1.5576,-0.6283,-0.0925
1.7527,-0.5236,-0.0892
1.5578,-0.2094,-0.0919
1.8315,-0.2094,-0.1007
1.5578,-0.3142,-0.1007
1.6375,-0.5236,-0.1007
1.9465,-0.5236,-0.1007
1.5578,-0.6283,-0.1038
1.7524,-0.733,-0.1066
1.6373,-0.8378,-0.1046
1.7522,-0.733,-0.1046
1.6373,-0.6283,-0.1062
1.5578,-0.6283,-0.1055
1.6373,-0.4189,-0.1121
1.4355,-0.4189,-0.1128
1.6369,-0.3142,-0.1159
1.3561,-0.5236,-0.1144
1.3561,-0.6283,-0.1102
1.6375,-0.733,-0.11
1.5578,-0.9425,-0.1093
1.7527,-1.1519,-0.1053
1.5576,-1.2566,-0.1035
1.7527,-1.3614,-0.1036
1.8317,-1.3614,-0.0987
1.6375,-1.5708,-0.0943
1.7522,-1.7802,-0.0835
1.6375,-2.5133,-0.0842
